model,mode,n,nulls,coverage,json_parse_success,parse_pass,schema_pass,json_pass_rate,perfect_response,prr_pass,value_accuracy,nested_field_accuracy,field_accuracy,faithfulness,path_recall,structure_coverage,type_safety,missing_rate,type_coercion,nesting_degradation,nesting_retention,L1,L2,L3,cell_score,metrics_version,value_accuracy_hardened,faithfulness_hardened,path_recall_hardened,structure_coverage_hardened
phi-4-mini,prompt_only,4951,0,1.0,0.9875,0.9875,0.65,0.65,0.0915,0.0915,0.3731,0.4998,0.4448,0.4291,0.6157,0.625,0.9288,0.0728,0.0038,0.0415,0.9205,0.7788,0.4047,0.3725,0.5104,2.3,0.326,0.3749,0.6157,0.625
phi-4-mini,reasoning_assisted,4951,0,1.0,0.8903,0.8903,0.408,0.408,0.0456,0.0456,0.2277,0.3786,0.3372,0.2709,0.3821,0.3892,0.79,0.2582,0.003,0.0542,0.8802,0.5962,0.2677,0.2356,0.3598,2.3,0.1952,0.232,0.3821,0.3892
qwen3-8b,prompt_only,4951,0,1.0,0.9881,0.9881,0.9869,0.9869,0.4246,0.4246,0.8159,0.8166,0.7587,0.8847,0.977,0.9776,0.9881,0.012,0.0,-0.002,1.0025,0.9851,0.7762,0.7762,0.8388,2.3,0.7747,0.8393,0.977,0.9776
qwen3-8b,reasoning_assisted,4951,0,1.0,0.94,0.94,0.9376,0.9376,0.3961,0.3961,0.7726,0.7735,0.7229,0.8382,0.9247,0.927,0.94,0.0611,0.0002,0.0155,0.9811,0.9359,0.7329,0.719,0.791,2.3,0.7311,0.7923,0.9247,0.927
qwen3.5-9b,prompt_only,4951,0,1.0,0.9719,0.9719,0.9655,0.9655,0.469,0.469,0.825,0.8293,0.7793,0.8854,0.958,0.9579,0.971,0.0285,0.0032,-0.003,1.0036,0.9662,0.7861,0.7861,0.8401,2.3,0.7899,0.8475,0.958,0.9579
qwen3.5-9b,reasoning_assisted,4951,0,1.0,0.7376,0.7376,0.7201,0.7201,0.3529,0.3529,0.6201,0.6226,0.5861,0.6669,0.7151,0.715,0.7371,0.2771,0.0022,0.0101,0.9879,0.7258,0.5936,0.5864,0.6318,2.3,0.599,0.6444,0.7151,0.715
ministral-3-3b,prompt_only,4951,0,1.0,0.9923,0.9923,0.9186,0.9186,0.139,0.139,0.5278,0.5526,0.4934,0.6061,0.8804,0.8889,0.9744,0.0197,0.0016,0.0198,0.9648,0.9407,0.5483,0.529,0.6621,2.3,0.4731,0.5423,0.8804,0.8889
ministral-3-3b,reasoning_assisted,4951,68,0.9862654009291052,0.9091,0.9091,0.8324,0.8324,0.1299,0.1299,0.4798,0.5032,0.4512,0.5502,0.791,0.8017,0.895,0.1113,0.002,0.0407,0.9284,0.8554,0.4962,0.4607,0.5969,2.3,0.4264,0.4887,0.791,0.8017
nuextract-3-4b,prompt_only,4951,0,1.0,0.9901,0.9901,0.4565,0.4565,0.144,0.144,0.3342,0.5263,0.4726,0.3673,0.443,0.4442,0.7833,0.184,0.0111,0.0098,0.9816,0.6669,0.3539,0.3474,0.4465,2.3,0.3076,0.337,0.443,0.4442
nuextract-3-4b,reasoning_assisted,4938,0,1.0,0.9885,0.9885,0.4923,0.4923,0.159,0.159,0.3637,0.57,0.5141,0.3986,0.4778,0.4798,0.7979,0.1408,0.0119,0.0198,0.966,0.6877,0.3797,0.3668,0.4695,2.3,0.3358,0.3671,0.4778,0.4798
